Media,title,article

You've got to be kidding me. Do the people making this argument really expect a man who until five seconds ago had an unblemished reputation to sit passively while his reputation is viciously and permanently destroyed? While he is accused of the most horrific and obscene acts imaginable? Judge Kavanaugh's critics seem to be aghast that he is a human being who is unwilling to take slander lying down.

Had Judge Kavanaugh sat dispassionately through Thursday's hearing and denied the allegations weakly, his critics would have taken his lack of forcefulness as proof of guilt. We all know this. We're not stupid. Spare us the pearl-clutching.

More to the point, this whole ""temperament"" argument is a non sequitur. Obviously Judge Kavanaugh would recuse himself if his own case came before the court. We're told that a man who reacts with understandable indignation when he is falsely accused cannot be a dispassionate arbiter of disputes involving third parties.

But we don't need to guess about how Judge Kavanaugh behaves when he's actually on the bench. He has a 12-year track record. And here's what the American Bar Association had to say about him after interviewing more than 100 fellow judges and lawyers who know and have appeared before him: ""Lawyers and judges overwhelmingly praised Judge Kavanaugh's judicial temperament.""

Then there's the matter of Judge Kavanaugh's alcohol consumption. Not since Prohibition have so many news outlets reported on drinking habits with such interest.

Countless articles have been written about how Judge Kavanaugh ""lied"" about his high-school and college drinking at the hearing, thereby calling into question his honesty. These articles claim the judge portrayed himself as a ""choirboy"" who, in the words of the New York Times, enjoyed ""a beer or two as a high school and college student."" Then they hit back with quotes from college acquaintances who say they saw the judge drink quite a lot.

This is known in the business as a straw man. Judge Kavanaugh never claimed he always drank in moderation. To the contrary, he admitted, ""Sometimes I had too many beers."" If Judge Kavanaugh's opponents want to claim he lied about his drinking when he was younger, perhaps they should stop lying about what he actually said.

A slightly different straw man concerns Judge Kavanaugh's statements at the hearing that he never blacked out from drinking. The Times and others have gathered testimonials from classmates who say they heard the judge ""slur his words"" and saw him ""staggering"" from alcohol consumption, as if this were proof that he blacked out from drinking. But of course Judge Kavanaugh never denied that he slurred his words or staggered. He said he never blacked out. Even a teetotaling Mormon knows the difference.

What's going on here is obvious. Having failed to bring down Judge Kavanaugh with unsubstantiated allegations of sexual abuse, his opponents are now trying to call into question his character in defending himself from those allegations. It's the ultimate set-up job. If the initial charges don't work, we'll destroy him when he defends himself. The good judge is damned no matter what he does.

This is further evidence that this whole sordid saga was never about the truth. It was never about justice for Ms. Ford. It was always and only about defeating Judge Kavanaugh by any means necessary. If the claims about sexual assault -- a serious and important topic that deserves respectful consideration, not this farce -- fail to stick, we'll take him down with straw men about drinking and nitpicking about yearbooks.

The latest claim is that Judge Kavanaugh lied when he testified that he first learned about Deborah Ramirez's allegations of lewd conduct from ""the New Yorker story."" NBC News reports he might have discussed the matter with fellow Yale alumni before the story's publication. In fact, he testified he'd heard ""that she was calling around to classmates trying to see if they remembered"" the events she described. The New Yorker quotes him denying the allegations -- so it seems a fair conclusion he learned of the precise claim from the New Yorker story as it was being prepared for publication.

He also reportedly threw ice at someone in a bar in 1985. So there's that.

I for one have had enough of this charade. Judge Kavanaugh is a good man and a good judge who doesn't deserve this treatment or anything like it. What he does deserve is confirmation."

wsj,The Kavanaugh Standard,"Judge Brett Kavanaugh's nomination to replace Anthony Kennedy on the U.S. Supreme Court is a watershed event that will define America's politics for years. If the Kavanaugh nomination fails because of the accusations made against him by Christine Blasey Ford and others, America's system of politics, indeed its everyday social relations, will be conducted in the future on the Kavanaugh Standard. It will deepen the country's divisions for a generation.

The Kavanaugh Standard will hold that any decision requiring a deliberative consideration of contested positions can and should be decided on just one thing: belief. Belief is sufficient. Nothing else matters.

Rape is already a prosecutable crime. Definitions of sexual harassment are undergoing a reconsideration that may yet produce new legal standards to determine liability or suitability for employment. Right now, we are not close to a consensus.

Once the decades-old accusations had been made against Judge Kavanaugh, with no corroboration available or likely, the Senate Judiciary Committee had no practical or formal basis for enlarging the discussion about his nomination. For everyone, the way forward was into a fog.

Then something new happened. Half of the Senate Judiciary Committee created this standard: ""I believe Christine.""

It is an inescapable irony that the Kavanaugh Standard -- ""I believe"" -- is being established inside the context of a nomination to the highest U.S. court. This new standard for court nominees (and surely others in and outside politics) would be that judgment can be rendered in the absence of substantive argument or any legal standard relating to corroboration, cross-examination or presumption of innocence.

In fact, the Kavanaugh Standard would have less intellectual content than liberalism's previous judicial gold standard -- agreement with the Supreme Court's decision in Roe v. Wade. The new, operative standard, assuming two Republican senators abandon Judge Kavanaugh, will come down to a leap of faith.

For a political cynic, like Chuck Schumer or Dianne Feinstein, all these considerations are pointless and irrelevant. Just win, baby. A bloodless political actor such as Sen. Schumer would say: Look, if there's a problem of some sort with compromised legal standards, we can make adjustments later. They won't do that.

If Democrats regain control of Congress and the presidency, this is how they will govern -- with belief alone sufficient as justification for imposing policy.

Something like a politics-by-belief emerged with the Obama presidency's remarkable number of broadly applicable executive orders issued by the Labor, Education and Justice departments and the Environmental Protection Agency. But even these orders, however coercive, permitted challenge as a misreading of available facts. The defeat of this Supreme Court nominee would be simply asserted. It would have about as much political legitimacy as a one-man-rule decree.

I have been wondering what the rest of the nation's sitting judges are making of the Kavanaugh proceedings. Or more specifically, what Justices Stephen Breyer and Elena Kagan think of what they imply for the future of the law's role in the U.S.

Looking at what has happened recently to university professors accused and then abandoned by their schools and colleagues for alleged racial offenses, or at the spectrum of proof in GBP MeToo incidents, it is clear that the political and academic left are contesting centuries-old standards of evidence.

Liberal jurisprudence and its arguments with conservatives, for example over Fourth Amendment search cases, is being displaced by a Democratic left -- there is no other way to describe it -- that prefers rough justice.

Rough justice is what the political left and the media left, notably the New Yorker and New York Times, is meting out to Brett Kavanaugh. Hawaii's Sen. Mazie Hirono has emerged from this hearing as a hero of the new rough justice.

Professors at Yale Law School canceled classes this week so that much of the student body could travel to Washington to support Ms. Ford's allegations, which suggests that the most popular class at Yale these days must be ""Legal Principles from the Stone Age to the 10th Century."" It's not a joke. In 20 years, a President Ocasio-Cortez will be naming these advocates of faith-based reasoning to the federal appeals courts.

In a more conciliatory atmosphere, one might say that even if the claims of a high-school offense were true, surely there is a case in adulthood for forgiveness. But these are unforgiving times, and that virtue is out the window.

Ultimately, this drama comes down to the choices about to be made by Republican Sens. Jeff Flake, Susan Collins and Lisa Murkowski. The question is whether the Senate's advice and consent for appointment to the U.S. Supreme Court should be reduced to simple secular belief. More important is that the entire country is watching now, and we'll find out soon what the American system of law is going to look like for the next 25 years."

wsj,Kavanaugh Probe Nears Its End,"WASHINGTON -- Senate Majority Leader Mitch McConnell pressed Tuesday to hold a vote as soon as possible on Judge Brett Kavanaugh, with the FBI expected to wrap up its probe into allegations of sexual assault and misconduct by the Supreme Court nominee as soon as Wednesday.

Mr. McConnell was vague on the timing of his next steps. While he made clear the FBI's findings wouldn't derail plans for a vote, he retained flexibility to address the concerns of three undecided GOP senators -- Jeff Flake of Arizona, Susan Collins of Maine and Lisa Murkowski of Alaska.

Given the GOP's thin Senate majority, Mr. McConnell would need support of two of those three lawmakers if all Democrats vote against the judge.

""What I can tell you with certainty -- we'll have an FBI report this week, and we'll have a vote this week,"" Mr. McConnell, a Kentucky Republican, told reporters.

At a political rally in Mississippi late Tuesday, President Trump mocked the testimony of Christine Blasey Ford, a research psychologist who alleged Judge Kavanaugh sexually assaulted her at a Maryland house party when they were teenagers. Judge Kavanaugh, now 53 years old, has categorically denied the allegation.

It was the first time the president has aimed direct public criticism at Dr. Ford.

""How did you get home?"" Mr. Trump asked, mimicking a questioner during last week's Senate Judiciary Committee hearing. ""I don't remember,"" Mr. Trump said in mock response of Dr. Ford.

One of Dr. Ford's lawyers, Michael Bromwich, wrote on Twitter that Mr. Trump's comments were ""a vicious, vile and soulless attack.""

The Senate Judiciary Committee chairman sent a letter Tuesday to Dr. Ford's attorneys asking for evidence buttressing her claim of sexual assault, writing that her allegations have ""put Judge Kavanaugh on trial before the nation.""

In his letter, Sen. Chuck Grassley (R., Iowa) said that Dr. Ford's attorneys have withheld evidence that senators need to evaluate the allegations before voting on Judge Kavanaugh's nomination.

He requested material covering three separate areas: notes from Dr. Ford's therapy sessions; recordings of the lie detector test she took; and exchanges she had with the news media.

Dr. Ford's lawyers didn't respond to a request for comment Tuesday night.

The letter raises a separate issue involving Dr. Ford's truthfulness. When she testified at the Judiciary Committee hearing last week, Dr. Ford was asked if she had ever talked to anyone beside her attorneys on how to take a lie-detector test.

""Never,"" she said.

Asked if she had discussed with anyone tips in taking a polygraph, she said, ""No.""

In seeking the lie detector records, Mr. Grassley said that the committee had gotten a sworn statement from an unnamed former boyfriend of Dr. Ford. The statement was reviewed by The Wall Street Journal.

The writer, whose name was redacted, said that he dated Dr. Ford from 1992 to 1998, found her to be ""truthful"" and that he had no ill will toward her.

He said that while they were dating, Dr. Ford lived with a female friend. That person was interviewing for a federal job. The writer said he witnessed Dr. Ford help her friend prepare to take a lie-detector test.

Because of her background in psychology, the writer said, Dr. Ford was able to help her friend understand ""what to expect, and how polygraphs worked,"" putting her mind at ease about the forthcoming test.

In his letter, Sen. Grassley wrote that Dr. Ford's testimony at the hearing ""raises specific concerns about the reliability of her polygraph examination results. The Senate therefore needs this information.""

On Tuesday, Mr. McConnell sidestepped questions on how long senators would have to review the Federal Bureau of Investigation's findings and when he would hold a required procedural vote to set up the final confirmation.

It remained unclear whether the public would have access to the FBI findings. Mr. McConnell said only senators would be able to see them, but his No. 2, Sen. John Cornyn (R., Texas), said ""there does need to be some sort of public statement, if not the reports themselves.""

The Democrats' Senate leader, Chuck Schumer of New York, called for the FBI to brief senators on their findings at least 24 hours before a vote.

""Why are our Republican colleagues so afraid of making this public?"" he said. ""Almost every step they take, it seems they have something to hide."" Democrats are pushing for the probe's results to be public.

By Tuesday evening, FBI agents had interviewed three people who Dr. Ford said were at the gathering on the night of her alleged assault. The bureau had also questioned two friends of Judge Kavanaugh referenced in a 1982 calendar, Tim Gaudette and Chris Garrett, known as ""Squi,"" according to their lawyers. Judge Kavanaugh's calendar indicated that on July 1, 1982, he went to ""Timmy's"" house for ""skis w/Judge, Tom, PJ, Bernie, Squi,"" which he told lawmakers was a reference to brewskis, or beers, at Mr. Gaudette's home.

The FBI has also spoken to Deborah Ramirez, a Yale University classmate who told the New Yorker that Mr. Kavanaugh exposed himself to her when they were in college. The judge has denied that allegation.

Ms. Ramirez's attorney said Tuesday that the FBI spoke to his client for more than two hours on Sunday, but that he was concerned that investigators hadn't yet contacted the more than 20 people Ms. Ramirez had told them could corroborate her account.

Democrats have made it clear they are likely to raise questions about the scope of the probe if they believe it is incomplete.

Mr. Trump, while praising the nominee, has said the FBI should conduct a comprehensive probe and that its findings could affect his support. He said it wouldn't be ""acceptable"" if it emerged that Judge Kavanaugh had lied to Congress.

The president had been advised not the criticize Dr. Ford and had displayed restraint after her testimony last week before the Judiciary Committee.

But on Tuesday night at the rally in Mississippi, Mr. Trump criticized gaps in Dr. Ford's retelling of the alleged sexual assault at a house party in a Maryland suburb of Washington in the early 1980s.

""How'd you get there? I don't remember. . . . Where is the place? . . . I don't remember . . . How many years ago was it? I don't know,"" Mr. Trump said, mocking Dr. Ford's testimony as the crowd cheered.

""Upstairs, downstairs, where was it? I don't know. But I had one beer. That's the only thing I remember.""

Dr. Ford couldn't recall certain details, but she testified that she was ""100 percent"" certain that Judge Kavanaugh was her attacker, which he vehemently denies.

Mr. Bromwich, Dr. Ford's attorney, wrote on Twitter after Mr. Trump's remarks: ""Is it any wonder that she was terrified to come forward, and that other sexual assault survivors are as well? She is a remarkable profile in courage. He is a profile in cowardice."""

wsj,FBI Probe Delays Kavanaugh Vote,"WASHINGTON -- The fight over Supreme Court nominee Brett Kavanaugh took another unexpected turn Friday when Sen. Jeff Flake forced a delay of up to one week on a Senate vote toallow the FBI time to investigate decades-old allegations of sexual assault against the judge.

In a tumultuous day, Mr. Flake (R., Ariz.) both provided the key vote to advance Judge Kavanaugh through the Judiciary Committee and used a threat of later withholding his support to force GOP leaders to slow the confirmation process.

""This country is being ripped apart here, and we have to be sure we're doing due diligence,"" Mr. Flake said at the hearing, ending frenzied negotiations that saw lawmakers slipping off the committee dais to head into a nearby anteroom corridor to join the conversations.

By day's end, a White House that had been ""shellshocked"" by Friday's events, according to a person close to the confirmation team, acquiesced. Speaking alongside the president of Chile, President Trump said he would do ""whatever they think is necessary"" to keep the Kavanaugh nomination alive.

Hours later, Mr. Trump ordered the Federal Bureau of Investigation to conduct a ""supplemental investigation"" that would be limited to credible allegations of sexual assault against Judge Kavanaugh and conclude in less than a week.

The latest twist means Judge Kavanaugh likely won't see a Senate vote until at least the end of next week, leaving about a month before midterm elections, after which the political dynamic may shift. That provides a backdrop of fierce political partisanship, with each side using Judge Kavanaugh's nomination to fuel enthusiasm and turnout for the midterms.

Democrats are seen as favorites to win control of the House, and they could challenge for control of the Senate as well. That possibility has Democrats accusing Republicans of rushing to confirm Judge Kavanaugh now, and Republicans saying Democrats are dragging out the process long enough to scotch the nominee's chances.

Mr. Flake was able to impose his will because of the Republicans' narrow Senate advantage, 51 to 49, and he wasn't alone. The White House can afford only one Republican defection in the confirmation vote, assuming all Democrats vote against him. Mr. Flake was joined later by GOP Sens. Lisa Murkowski of Alaska and Susan Collins of Maine in insisting on the FBI review of California college professor Christine Blasey Ford's claim that the judge assaulted her when they were teenagers.

""At the end of the day, it is the undecided senators who most hold the key here,"" Sen. Chris Coons (D., Del.) said. Democrats have been calling for a further FBI review of the allegations, and Mr. Coons had suggested a one-week delay in his remarks Friday before the Judiciary panel, which he said he had revised in an effort to appeal to Mr. Flake.

In testimony that riveted the Capitol and much of the nation Thursday, Dr. Ford said that an inebriated Mr. Kavanaugh and a friend locked her in a bedroom during an early 1980s party, groped her and tried to remove her clothes. She said she managed to get away but the alleged assault left her struggling academically and coping with anxiety for years.

A defiant Judge Kavanaugh later Thursday rebutted her allegations, saying he was too busy with sports and other summertime events to party hard and that he was likely out of town when the alleged assault occurred.

Mr. Flake had arrived at the Senate Judiciary Committee prepared to support Judge Kavanaugh, according to a statement released by his office. Moments later, on his way to the committee hearing room, he was confronted by protesters as he entered an elevator.

In a video widely shared on social media and on cable news channels, Maria Gallagher, 23 years old, tearfully told the senator that she was the victim of a sexual assault. ""Nobody believed me,"" she said, as Mr. Flake listened with his head bowed. ""You're telling all women in America that they don't matter.""

At the White House, aides as of Thursday night were upbeat about Judge Kavanaugh's combative defense of the allegations, the person close to the confirmation team said. Then, late Thursday, the American Bar Association in a letter urged the Judiciary Committee to vote on Judge Kavanaugh's nomination only after a ""thorough"" FBI investigation. After that, the person said, ""It kind of fell apart.""

It wasn't clear what would be involved in the FBI investigation beyond Dr. Ford's allegation.

Two other women have alleged sexual misconduct connected with Judge Kavanaugh, which he has denied. Deborah Ramirez alleged in a New Yorker article that Mr. Kavanaugh exposed himself to her during a drunken party when they were both freshmen at Yale University. And earlier this past week, Julie Swetnick alleged Mr. Kavanaugh was at a party in the early 1980s when she was gang-raped and that he tried to get women drunk at several gatherings so they could be targeted for an attack.

A lawyer for Ms. Swetnick said his client would cooperate. ""We are anxious to meet with the FBI, which is what we have been demanding,"" said the lawyer, Michael Avenatti. A lawyer for Ms. Ramirez didn't return a request for comment."

wsj,"Brett Kavanaugh, Presumption and Fairness","Regarding your editorial ""The Politics of Destruction"" (Sept. 25): An accused is entitled to due process when the state contemplates taking away the accused's rights. The opportunity to become a Supreme Court justice is a privilege, not a right. You do a disservice applying a rights-based notion to a privilege situation.

When we grant privilege amid controversy, we are all free to apply the benefit of the doubt as we choose and to encourage others to adopt our standard.

Jonathan A. Goodman

Boulder, Colo.

---

What is even more pernicious than the new standard of the presumption of guilt is the selective presumption of guilt. Accusers of those who hold particular real or perceived political leanings that don't jibe with left-leaning groupthink are both believed and lauded for their courage upon making nothing more than a completely unsubstantiated charge, while those who accuse favored, left-leaning political actors, often with detailed facts and evidence, are ignored. The targeting of and dismissal of Bill Clinton's accusers is legion in this regard.

This type of behavior that assassinates well-established moral and legal principles, along with the character assassination of perceived enemies, is now situated almost entirely within the progressive movement that has infected the larger Democratic Party. This unjust cudgel is an early feature of all totalitarianism wherein individual rights erode for the disfavored while being elevated for the favored.

James Gottschalk

Tequesta, Fla.

---

Before Democrats finally revealed that an anonymous claim of sexual misconduct was made against Judge Brett Kavanaugh based on an alleged incident 36 years ago, 33% of American voters supported his nomination to the Supreme Court, with 29% opposed. The WSJ/NBC poll last week (after Christine Blasey Ford came forward) showed 34% in support and 38% opposed.

Even if Judge Kavanaugh survives this liberal trial by ordeal and squeaks by to serve on the Supreme Court, the ""J'accuse"" tactic will have worked politically, particularly if the Democrats go on to win control of Congress in the midterm elections.

Dave Palmer

Columbia, S.C.

---

The same ""progressives"" who decried the practice of racial profiling are now engaging in gender profiling, i.e., if he is a man, then he is assumed guilty of sexual assault unless proved innocent. This practice has now entered the public arena.

Allen Weitzner

Aventura, Fla.

---

The letters of Sept. 21 included one from the honest 81-year-old woman who told of the attempted sexual assault she so unfortunately endured when she was 11. She states: ""It is as clear to me now as the night it happened."" She makes the point victims of such horrible, unwanted sexual advances have vivid, specific memories. According to what her attorney tells us, Christine Blasey Ford does not. Thanks to Fran Kassabian for elucidating that point.

Mary DuCoin

Stuart, Fla.

---

Forget Brett Kavanaugh. When President Trump calls the next judge for nomination to the Supreme Court or any other court, will that person be willing to be dragged through the mud for political purposes, having his or her life turned upside down and name besmirched?

Robert M. Sussman

Paradise Valley, Ariz."

wsj,Kavanaugh: An Easy Vote,"This is not hard. Democrats and the media have worked ceaselessly to create the impression that Brett Kavanaugh's confirmation vote is the toughest the Senate will ever take. It isn't. Not even close.

True, by using some of the most vicious, ruthless and soulless tactics ever seen in Washington, the left has managed to escalate this moment. But step back, wipe the mud from your eyes, and view this nomination again with 20/20 vision. It's an easy vote.

Judge Kavanaugh is one of the most respected jurists in the country, with 12 years and hundreds of opinions on the nation's pre-eminent court of appeals. He has served his country ably and with distinction for decades. He is the definition of a bright, solid conservative jurist, a natural pick for any Republican president -- a George W. Bush, a John McCain, a Mitt Romney. Voting for a stellar judge universally praised across the establishment? Easy.

Senators should remember that he was chosen in part for these specific credentials -- to spare more-moderate Republicans the debates over abortion and other touchy subjects that might have accompanied different nominees. The entire process has been marked by deference to those moderates -- from White House pre-nomination consultations to a rock-solid confirmation process that was the most transparent in history.

Judge Kavanaugh endured 31 hours of initial hearings and answered nearly 1,300 subsequent written questions. He met 65 senators. The Judiciary Committee made available to senators thousands of documents spanning his career in government service. All this was done to ensure an orderly, thorough and honest process. Voting for a man who has been more thoroughly vetted than any nominee in history? Easy.

Republicans can also point to a fair and exhaustive examination of the ugly allegations lodged at the last minute against the nominee. Christine Blasey Ford's claims were immediately investigated by the Judiciary Committee. She was provided a hearing and treated with utmost courtesy. At senators' requests, the vote was delayed and the Federal Bureau of Investigation conducted a seventh Kavanaugh background check, this one into the claims of Ms. Ford and Deborah Ramirez. The resulting report confirms the allegations are entirely uncorroborated, and the people the accusers claim were present deny any knowledge of the purported events. Voting for a man who is innocent under any standard of due process? Easy.

The new claim that Judge Kavanaugh lacks the ""temperament"" to sit on the court is likewise untethered from reality. When he appeared at last week's hearing, he was not testifying in his capacity as a judge, a federal employee or even a lawyer. He was testifying as a human being -- one falsely accused by Senate Democrats of gang rape. Of course he was indignant. But whatever his reaction, it bears no relation to his judicial temperament, to how he conducts himself on the bench. On that score his record is beyond reproach. The ABA interviewed hundreds of people about him and reported: ""Lawyers and judges overwhelmingly praised Judge Kavanaugh's judicial temperament."" Voting for a man who is described in that report as ""honest,"" ""humble,"" ""open-minded,"" ""decent"" and ""fair""? Easy.

Politically, too, this is easy. Republican voters are furious about the treatment of Judge Kavanaugh and want him confirmed. An NPR/PBS NewsHour/Marist poll this week showed the Democratic ""enthusiasm"" edge in the midterms has evaporated. As many Republicans as Democrats now say this election is ""very important"" -- which directly ties to the Kavanaugh battle. Recent polls show Democratic senators from red states who have declared against Judge Kavanaugh to be in growing political peril -- from North Dakota's Heidi Heitkamp to Missouri's Claire McCaskill to Montana's Jon Tester. Any Republican who votes against this judge puts himself in the same camp as Dianne Feinstein, Kamala Harris and Cory Booker, and risks turning that voter wrath onto themselves.

Don't tell the ""resistance,"" but the hard vote to defend would be a ""no."" That's the vote that would legitimize these shameful tactics and guarantee similar gruesome treatment for future nominees. That's the vote that turns GBP MeToo into GBP MeCarthyism. It's the vote that potentially removes Judge Kavanaugh from even his existing position, as Democrats pursue perjury charges and impeachment. A ""no"" is a vote against every value Republican senators claim to hold dear -- due process, the presumption of innocence, civility, conservative jurisprudence, the Senate's solemn role in advice and consent.

Democrats want Republicans to fear this vote. Republicans should embrace it. Because it is the right thing to do, and because the Supreme Court rulings that will come with a Justice Kavanaugh will serve as a point of pride for decades to come."

wsj,The Attack on Kavanaugh Is Un-American,"A reputation is a fragile thing. Last week was a testament to that simple truth. Within hours of being accused of an unsubstantiated and uncorroborated three-decades-old assault, Judge Brett Kavanaugh's reputation as a highly respected jurist with an unblemished personal record was permanently damaged. Many rushed to declare Judge Kavanaugh guilty merely because he had been accused. Democrats all too happily called for him to withdraw his Supreme Court nomination, while his accuser's lawyer basked in the left's glory for slowing a Supreme Court nomination that seemed a sure thing.

As the #MeToo tidal wave crests, it is crucial to remember what happens when we blindly assume the truth of allegations rather than require evidence and adhere to the notion that people are innocent until proven guilty. I have seen firsthand what happens when people mindlessly follow preconceived narratives, disregard evidence, and indiscriminately believe accusers. I represented Nicole Eramo, a dean at the University of Virginia, who was victimized by one of the most notorious false rape accusations in recent history.

Rolling Stone magazine claimed in 2014 that Ms. Eramo had tried to cover up a horrific gang rape at a UVA fraternity. The campus exploded in protest, and Ms. Eramo -- who had dedicated her career to helping survivors of sexual assault and had supported the purported victim -- became a national villain, receiving public condemnation and death threats.

Although we were ultimately able to vindicate Ms. Eramo publicly, winning a $3 million jury verdict for defamation, we faced the tremendously difficult task of proving what had not happened: that the reported gang rape did not occur, and that Ms. Eramo did not dismiss the accuser's allegations. That required months of litigation -- not to mention the public backlash my law firm endured by daring to ask a purported victim of sexual assault questions about her allegations.

Judge Kavanaugh finds himself in a similar unenviable position: being expected to prove a negative. To vindicate himself in the eyes of those who assume his guilt, he must show that something else happened, for example that he was somewhere else when the incident -- whose location is itself unspecified -- allegedly occurred. To make matters worse, the purported assault took place before cellphones, text messages, emails -- making it hard to find contemporaneous documents to demonstrate the falsity of the claim.

That's precisely why Democrats have latched onto these allegations -- because they are unprovable. It is her word against his. And how dare a white man, from a privileged background, confront his accuser -- either himself or through his lawyer. Even if that lawyer is a woman. The left tells us that to do so would be ""insensitive"" and would ""revictimize"" her. But with that approach, due process is thrown out the window, all law is politics, and mob rule becomes the standard. It is un-American, and all Americans should be fearful.

Senate Republicans should not have invited Christine Blasey Ford to testify without first requiring her to answer written questions under oath and produce any documents supporting her claims. The polygraph results were finally released Wednesday, but where are those therapist notes? What questions was Ms. Ford asked, and how did she answer them, in each of those settings? What do others -- witnesses either to the alleged assault or to Ms. Ford's recounting of it -- have to say about it under oath?

An adversarial process -- with testimony by relevant witnesses supported by contemporaneous documents -- is the best way to make a determination about Ms. Ford's and Judge Kavanaugh's credibility. A he-said-she-said back-and-forth without documents or witnesses will produce nothing except political theater.

Senate Republicans and Democrats -- along with the American public -- should remember that in civil and criminal settings, the prosecution bears the burden of proof. The Senate Judiciary Committee in its advice-and-consent role for Supreme Court nominations should not disregard this bedrock principle of American jurisprudence -- it should firmly embrace it. Unless Ms. Ford can satisfy her burden of proof by calling witnesses with contemporaneous knowledge of her claims or producing relevant documents supporting her allegations, Judge Kavanaugh should be presumed innocent and his nomination should be confirmed.

At this point, all we know is that every purported witness denies any knowledge of the party where the assault is supposed to have happened -- including a female friend of Ms. Ford's, who says she doesn't even know Judge Kavanaugh. Ms. Ford, through her Democratic lawyer, Debra Katz, has only referenced -- or produced portions of -- very self-serving documents. The American people should be permitted to hear from these witnesses and to review these documents. And they are entitled to answers to other relevant questions to determine whether this is -- as many Republicans suspect -- merely a political hatchet job.

When did Ms. Ford retain Ms. Katz? Who referred Ms. Ford to Ms. Katz? If this is not a political attack, why did she choose Ms. Katz as her lawyer? What communications did she, or Ms. Katz, have with Senate Democrats before publicly making these allegations? Why did Ms. Ford report her allegation to a Democratic politician, rather than to local law enforcement or to the FBI?

The controversy erupting around the Kavanaugh nomination underlines the power of the #MeToo movement, which is predicated on the idea that the dynamics between the sexes rob women of their power. But anyone still holding to that Victorian notion should have been disabused of it last week.

The circus this process has become demonstrates not only the power of #MeToo but also its potential as a weapon -- and how an audience eager for victim narratives and sinister power dynamics can be galvanized without proof to shatter a man's reputation built over a lifetime of hard work. When preconceived narratives replace the demand for facts and evidence, accusations become self-proving. Don't be surprised when people with ulterior motives invent false accusations that destroy the innocent."

wsj,How Kavanaugh Could Help the GOP,"Following last week's extraordinary testimony by Prof. Christine Blasey Ford and Judge Brett Kavanaugh, public attitudes are split and malleable.

The hearing eroded support for Judge Kavanaugh's Supreme Court confirmation, according to a Sept. 30 Harvard-Harris poll. Before the hearing, 36% of voters favored his confirmation with 38% opposed and 26% undecided. After the hearing, support for confirmation was roughly unchanged, but opposition ticked up to 44% as the share of undecideds fell. Responses broke along partisan lines: Republicans favored confirmation 72% to 13%, while Democrats opposed it 71% to 16%. Independents also opposed confirmation, 45% to 28%.

But the tide of opinion could reverse after the Federal Bureau of Investigation finishes its supplemental background check. The Harvard-Harris survey also asked respondents where they would stand if the FBI review ""finds no corroboration"" of Ms. Ford's accusations. In that case, support for confirming Judge Kavanaugh rises to 60% -- including 58% among independents -- while opposition drops to 40%.

This is why Democrats -- who demanded an FBI investigation -- are likely to disparage it once it concludes. They will argue it was rushed even though Sen. Amy Klobuchar initially said ""let's give this one week"" and Sen. Mazie Hirono said over the weekend ""there is time to get to the bottom of it, even if it's seven days."" In a Sept. 20 letter to the White House, Democratic senators noted that ""the FBI finished its work in three days"" when investigating accusations against Clarence Thomas in 1991.

But Sen. Richard Blumenthal has already called the FBI's time frame ""too accelerated and too artificial."" After Democrats warned the White House not to influence the FBI's work, Mr. Blumenthal now demands the FBI question 25 people. Once the investigation wraps up, Democrats may insist on another televised hearing. Others will drop the sexual-assault issue and turn to teenage drinking and yearbook scribbles to suggest Judge Kavanaugh misled the Judiciary Committee.

Democrats aren't the only ones revved up by all this. The Harvard-Harris poll found 46% of Republicans along with 50% of Democrats agreed ""the battle over Brett Kavanaugh"" made them ""more likely to turn out and vote in this November's midterm elections."" Republicans have generally been less enthusiastic than Democrats, but they may have been jolted into action by this controversy.

The GOP could strengthen its hand further -- especially with independents -- by keeping the focus on how Democrats created this mess. Sixty-nine percent of all voters -- not just Republicans -- believe ""the Senate confirmation hearings ... have been a national disgrace."" Seventy-five percent of voters agree Sen. Dianne Feinstein should ""have immediately turned over the letter from Christine Blasey Ford"" rather than sit on it for six weeks until it was leaked in the media. Note to California Republicans, left without a Senate candidate by the state's open primary: Vote for Mrs. Feinstein's Democratic opponent, Kevin de Leon. The better his showing in California's red precincts, the bigger the rebuke to Mrs. Feinstein.

How will this ugly confirmation fight affect the midterms? In crucial Senate races in red states like Indiana, Missouri, Montana, North Dakota, Tennessee and West Virginia, it will hurt Democrats. There are simply a lot more Republicans than Democrats in these states, and Republicans support Judge Kavanaugh. That's why North Dakota's Sen. Heidi Heitkamp, West Virginia's Sen. Joe Manchin and Tennessee hopeful Phil Bredesen, all Democrats, have yet to join their party's mob trying to destroy the nominee.

